№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
800.0,25316272001.0,401/3514,+32,ЖК Империум | https://erzrf.ru/novostroyki/zhk-imperium-25316272001?regionKey=143443001&gkId=25316272001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, пер.2-й Обыденский",н/р,0.0,элитный,среднеэтажные дома,Специализированный застройщик Обыденский | https://erzrf.ru/zastroyschiki/brand/25315917001?regionKey=0&organizationId=25315917001,н/р
801.0,4352413001.0,401/3514,+32,ЖК Ирландский квартал | https://erzrf.ru/novostroyki/zhk-irlandskij-kvartal-4352413001?regionKey=143443001&gkId=4352413001,г.Москва,"дер.Раево, округ Троицкий, ул.Джонатана Свифта",н/р,0.0,комфорт,малоэтажные дома,ДЕСНА-ЛЭНД | https://erzrf.ru/zastroyschiki/brand/4846695001?regionKey=0&organizationId=4846695001,0.0
802.0,3732149001.0,401/3514,+32,ЖК Искра-Парк | https://erzrf.ru/novostroyki/zhk-iskra-park-3732149001?regionKey=143443001&gkId=3732149001,г.Москва,"г.Москва, округ Северный, р-н Беговой, пр-кт Ленинградский",н/р,0.0,комфорт,дома повышенной этажности,Галс-Девелопмент | https://erzrf.ru/zastroyschiki/brand/429942001?regionKey=0&organizationId=429942001,н/р
803.0,6338419001.0,401/3514,+32,ЖК Искры Радости | https://erzrf.ru/novostroyki/zhk-iskry-radosti-6338419001?regionKey=143443001&gkId=6338419001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бабушкинский, ул.Искры",н/р,0.0,бизнес,многоэтажные дома,ГК Промингрупп | https://erzrf.ru/zastroyschiki/brand/6337919001?regionKey=0&organizationId=6337919001,н/р
804.0,17937833001.0,401/3514,+32,ЖК КОМПОЗИЦИЯ №24 | https://erzrf.ru/novostroyki/zhk-kompozicija-№24-17937833001?regionKey=143443001&gkId=17937833001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Хавская",н/р,0.0,элитный,среднеэтажные дома,Велес Траст | https://erzrf.ru/zastroyschiki/brand/17937756001?regionKey=0&organizationId=17937756001,н/р
805.0,6331807001.0,401/3514,+32,ЖК Калипсо-3 | https://erzrf.ru/novostroyki/zhk-kalipso-3-6331807001?regionKey=143443001&gkId=6331807001,г.Москва,"г.Щербинка, округ Новомосковский, мрн Люблинский, ул.Мостотреста",н/р,0.0,комфорт,дома повышенной этажности,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
806.0,24933545001.0,401/3514,+32,"ЖК Капотня, 1-й кв-л, д. 1 | https://erzrf.ru/novostroyki/zhk-kapotnja-1-j-kv-l-d-1-24933545001?regionKey=143443001&gkId=24933545001",г.Москва,"г.Москва, округ Юго-Восточный, р-н Капотня, кв.1",н/р,0.0,комфорт,многоэтажные дома,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
807.0,14404326001.0,401/3514,+32,ЖК Карты | https://erzrf.ru/novostroyki/zhk-moj-adres-v-nekrasovke-2-14404326001?regionKey=143443001&gkId=14404326001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Некрасовка, квартал 17, ул.Маршала Ерёменко",н/р,0.0,эконом,дома повышенной этажности,КП УГС | https://erzrf.ru/zastroyschiki/brand/9530869001?regionKey=0&organizationId=9530869001,5.0
808.0,8243284001.0,401/3514,+32,ЖК Каширка.LIKE | https://erzrf.ru/novostroyki/zhk-vanil-8243284001?regionKey=143443001&gkId=8243284001,г.Москва,"г.Москва, округ Южный, р-н Москворечье-Сабурово, ш.Каширское",н/р,0.0,комфорт,высотные дома,ГК ТЭН | https://erzrf.ru/zastroyschiki/brand/2018219001?regionKey=0&organizationId=2018219001,н/р
809.0,21788764001.0,401/3514,+32,ЖК Квартал Румянцево (МелиСад) | https://erzrf.ru/novostroyki/zhk-melissad-21788764001?regionKey=143443001&gkId=21788764001,г.Москва,"дер.Дудкино (в составе г. о. Москва), округ Новомосковский",н/р,52.0,комфорт,высотные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
810.0,24806853001.0,401/3514,+32,ЖК Квартал Серебряный Бор | https://erzrf.ru/novostroyki/zhk-kvartal-serebrjanyj-bor-24806853001?regionKey=143443001&gkId=24806853001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Берзарина",н/р,147.0,бизнес,высотные дома,СЗ Берзарина 37 | https://erzrf.ru/zastroyschiki/brand/24806681001?regionKey=0&organizationId=24806681001,н/р
811.0,3643307001.0,401/3514,+32,ЖК Квартал Триумфальный | https://erzrf.ru/novostroyki/zhk-kvartal-triumfalnyj-3643307001?regionKey=143443001&gkId=3643307001,г.Москва,"г.Москва, округ Западный, р-н Фили-Давыдково, квартал 1-2 Давыдково",н/р,0.0,элитный,дома повышенной этажности,ФЦСР | https://erzrf.ru/zastroyschiki/brand/4850074001?regionKey=0&organizationId=4850074001,н/р
812.0,7925000001.0,401/3514,+32,ЖК Квартал на Никулинской | https://erzrf.ru/novostroyki/zhk-kvartal-na-nikulinskoj-7925000001?regionKey=143443001&gkId=7925000001,г.Москва,"г.Москва, округ Западный, р-н Тропарёво-Никулино, ул.Никулинская",н/р,0.0,комфорт,дома повышенной этажности,УЭЗ | https://erzrf.ru/zastroyschiki/brand/7924542001?regionKey=0&organizationId=7924542001,0.5
813.0,9830178001.0,401/3514,+32,ЖК Кверкус | https://erzrf.ru/novostroyki/zhk-kverkus-9830178001?regionKey=143443001&gkId=9830178001,г.Москва,"г.Москва, округ Северный, р-н Тимирязевский, ул.Ивановская",н/р,0.0,комфорт,многоэтажные дома,СУ-7 ФС | https://erzrf.ru/zastroyschiki/brand/9829624001?regionKey=0&organizationId=9829624001,н/р
814.0,24660843001.0,401/3514,+19,ЖК Керченская 2 | https://erzrf.ru/novostroyki/zhk-kerchenskaja-2-24660843001?regionKey=143443001&gkId=24660843001,г.Москва,"г.Москва, округ Юго-Западный, р-н Зюзино, ул.Керченская",н/р,0.0,эконом,дома повышенной этажности,Фонд реновации | https://erzrf.ru/zastroyschiki/brand/14543898001?regionKey=0&organizationId=14543898001,5.0
815.0,3755887001.0,401/3514,+32,ЖК Клеверлэнд (Cleverland) | https://erzrf.ru/novostroyki/zhk-kleverlend-cleverland-3755887001?regionKey=143443001&gkId=3755887001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марфино, ул.Комдива Орлова",н/р,0.0,бизнес,многоэтажные дома,ГК КомСтрин | https://erzrf.ru/zastroyschiki/brand/1163375001?regionKey=0&organizationId=1163375001,0.0
816.0,7049304001.0,401/3514,+32,ЖК Кленовые аллеи | https://erzrf.ru/novostroyki/zhk-klenovye-allei-7049304001?regionKey=143443001&gkId=7049304001,г.Москва,"поселение Десеновское, округ Новомосковский, ш.Калужское",н/р,2.0,комфорт,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
817.0,3098700001.0,401/3514,+32,ЖК Кленовый DOM | https://erzrf.ru/novostroyki/zhk-klenovyj-dom-3098700001?regionKey=143443001&gkId=3098700001,г.Москва,"г.Москва, округ Центральный, р-н Хамовники, наб.Пречистенская",н/р,0.0,элитный,среднеэтажные дома,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
818.0,7707240001.0,401/3514,+32,ЖК Клубный дом DEPRE | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-depre-7707240001?regionKey=143443001&gkId=7707240001,г.Москва,"г.Москва, округ Центральный, р-н Тверской, б-р Петровский",н/р,0.0,элитный,среднеэтажные дома,KR Properties | https://erzrf.ru/zastroyschiki/brand/5050110001?regionKey=0&organizationId=5050110001,4.5
819.0,7765581001.0,401/3514,+32,ЖК Клубный дом Story | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-story-7765581001?regionKey=143443001&gkId=7765581001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, пр-д 3-й Автозаводский",н/р,0.0,бизнес,многоэтажные дома,STONE | https://erzrf.ru/zastroyschiki/brand/7765277001?regionKey=0&organizationId=7765277001,н/р
820.0,10863130001.0,401/3514,+32,ЖК Клубный дом Vitality | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-vitality-10863130001?regionKey=143443001&gkId=10863130001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Южнопортовый, ул.1-я Машиностроения",н/р,0.0,бизнес,многоэтажные дома,Larus Capital | https://erzrf.ru/zastroyschiki/brand/4846933001?regionKey=0&organizationId=4846933001,н/р
821.0,11459612001.0,401/3514,+32,ЖК Клубный дом Исток | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-istok-11459612001?regionKey=143443001&gkId=11459612001,г.Москва,"г.Москва, округ Северный, р-н Войковский, ул.Космонавта Волкова",н/р,0.0,комфорт,многоэтажные дома,Корундстрой | https://erzrf.ru/zastroyschiki/brand/11459490001?regionKey=0&organizationId=11459490001,н/р
822.0,3704725001.0,401/3514,+32,ЖК Клубный дом Октябрь | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-oktjabr-3704725001?regionKey=143443001&gkId=3704725001,г.Москва,"г.Москва, округ Северо-Западный, р-н Хорошёво-Мнёвники, ул.Народного Ополчения",н/р,1.0,бизнес,высотные дома,ALVEK | https://erzrf.ru/zastroyschiki/brand/3192985001?regionKey=0&organizationId=3192985001,0.0
823.0,13200389001.0,401/3514,+32,ЖК Клубный дом Солнечный | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-solnechnyj-13200389001?regionKey=143443001&gkId=13200389001,г.Москва,"г.Московский, округ Новомосковский, ул.Солнечная",н/р,0.0,комфорт,многоэтажные дома,ГК Радуга | https://erzrf.ru/zastroyschiki/brand/13199107001?regionKey=0&organizationId=13199107001,н/р
824.0,4811556001.0,401/3514,+32,"ЖК Клубный дом на Котельнической набережной, 21 | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-kotelnicheskoj-naberezhnoj-21-4811556001?regionKey=143443001&gkId=4811556001",г.Москва,"г.Москва, округ Центральный, р-н Таганский, наб.Котельническая",н/р,0.0,элитный,среднеэтажные дома,СК-207 | https://erzrf.ru/zastroyschiki/brand/4849854001?regionKey=0&organizationId=4849854001,н/р
825.0,4799080001.0,401/3514,+32,ЖК Клубный дом на Котельнической | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-kotelnicheskoj-4799080001?regionKey=143443001&gkId=4799080001,г.Москва,"г.Москва, округ Центральный, р-н Таганский, пер.4-й Котельнический",н/р,0.0,элитный,многоэтажные дома,СИХ Русский Монолит | https://erzrf.ru/zastroyschiki/brand/3185547001?regionKey=0&organizationId=3185547001,н/р
826.0,3190773001.0,401/3514,+32,ЖК Клубный дом на Менжинского | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-menzhinskogo-3190773001?regionKey=143443001&gkId=3190773001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бабушкинский, ул.Менжинского",н/р,0.0,комфорт,дома повышенной этажности,ALVEK | https://erzrf.ru/zastroyschiki/brand/3192985001?regionKey=0&organizationId=3192985001,0.0
827.0,3191315001.0,401/3514,+32,ЖК Клубный дом на Пришвина | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-prishvina-3191315001?regionKey=143443001&gkId=3191315001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бибирево, ул.Пришвина",н/р,0.0,бизнес,многоэтажные дома,ALVEK | https://erzrf.ru/zastroyschiki/brand/3192985001?regionKey=0&organizationId=3192985001,0.0
828.0,3183798001.0,401/3514,+32,ЖК Клубный дом на Сретенке | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-sretenke-3183798001?regionKey=143443001&gkId=3183798001,г.Москва,"г.Москва, округ Центральный, р-н Красносельский, пер.Даев",н/р,0.0,элитный,среднеэтажные дома,ДК Лидер Инвест | https://erzrf.ru/zastroyschiki/brand/2570896001?regionKey=0&organizationId=2570896001,н/р
829.0,4106058001.0,401/3514,+32,ЖК Клубный дом на Таганке | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-taganke-4106058001?regionKey=143443001&gkId=4106058001,г.Москва,"г.Москва, округ Центральный, р-н Таганский, пер.Брошевский",н/р,0.0,бизнес,многоэтажные дома,ДК Лидер Инвест | https://erzrf.ru/zastroyschiki/brand/2570896001?regionKey=0&organizationId=2570896001,н/р
830.0,9791618001.0,401/3514,+32,ЖК Клубный дом на Тишинке | https://erzrf.ru/novostroyki/zhk-klubnyj-dom-na-tishinke-9791618001?regionKey=143443001&gkId=9791618001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пер.Средний Тишинский",н/р,0.0,элитный,дома повышенной этажности,ДОНСТРОЙ | https://erzrf.ru/zastroyschiki/brand/430278001?regionKey=0&organizationId=430278001,5.0
831.0,7179914001.0,401/3514,+32,"ЖК Кокошкино (ул. Труда, д. 8) | https://erzrf.ru/novostroyki/zhk-po-ul-truda-7179914001?regionKey=143443001&gkId=7179914001",г.Москва,"пос.Кокошкино, округ Новомосковский, ул.Труда",н/р,0.0,эконом,многоэтажные дома,АИС-Проект | https://erzrf.ru/zastroyschiki/brand/15630962001?regionKey=0&organizationId=15630962001,н/р
832.0,4341422001.0,401/3514,+32,ЖК Кокошкино | https://erzrf.ru/novostroyki/zhk-kokoshkino-4341422001?regionKey=143443001&gkId=4341422001,г.Москва,"пос.Кокошкино, округ Новомосковский, ул.Железнодорожная",н/р,0.0,эконом,многоэтажные дома,УКС-4 | https://erzrf.ru/zastroyschiki/brand/15625819001?regionKey=0&organizationId=15625819001,н/р
833.0,368103001.0,401/3514,+32,ЖК Коммунарка-10 | https://erzrf.ru/novostroyki/zhk-kommunarka-10-368103001?regionKey=143443001&gkId=368103001,г.Москва,"пос.Коммунарка, округ Новомосковский",н/р,0.0,эконом,многоэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
834.0,368308001.0,401/3514,+32,ЖК Коммунарка-11 | https://erzrf.ru/novostroyki/zhk-kommunarka-11-368308001?regionKey=143443001&gkId=368308001,г.Москва,"пос.Коммунарка, округ Новомосковский",н/р,0.0,эконом,многоэтажные дома,ГК МИЦ | https://erzrf.ru/zastroyschiki/brand/430374001?regionKey=0&organizationId=430374001,н/р
835.0,367972001.0,401/3514,+32,ЖК Коммунарка-9 | https://erzrf.ru/novostroyki/zhk-kommunarka-9-367972001?regionKey=143443001&gkId=367972001,г.Москва,"пос.Коммунарка, округ Новомосковский",н/р,0.0,эконом,многоэтажные дома,ГК МИЦ | https://erzrf.ru/zastroyschiki/brand/430374001?regionKey=0&organizationId=430374001,н/р
836.0,23256510001.0,401/3514,+32,ЖК Комплекс Зарядье | https://erzrf.ru/novostroyki/zhk-zarjade-23256510001?regionKey=143443001&gkId=23256510001,г.Москва,"г.Москва, округ Центральный, р-н Тверской, ул.Варварка",н/р,0.0,элитный,многоэтажные дома,"МФК Варварка 14, стр. 1, 2 | https://erzrf.ru/zastroyschiki/brand/23256169001?regionKey=0&organizationId=23256169001",н/р
837.0,1950976001.0,401/3514,+32,ЖК Консент | https://erzrf.ru/novostroyki/zhk-konsent-1950976001?regionKey=143443001&gkId=1950976001,г.Москва,"г.Москва, округ Восточный, р-н Перово, ул.2-я Владимирская",н/р,0.0,бизнес,многоэтажные дома,ГК Афина | https://erzrf.ru/zastroyschiki/brand/3824369001?regionKey=0&organizationId=3824369001,н/р
838.0,7388060001.0,401/3514,+32,ЖК Концепт House | https://erzrf.ru/novostroyki/zhk-koncept-house-7388060001?regionKey=143443001&gkId=7388060001,г.Москва,"г.Москва, округ Западный, р-н Можайский, ул.Багрицкого",н/р,0.0,бизнес,многоэтажные дома,Концепт Инвест | https://erzrf.ru/zastroyschiki/brand/7387128001?regionKey=0&organizationId=7387128001,н/р
839.0,4811976001.0,401/3514,+32,ЖК Коптево Park | https://erzrf.ru/novostroyki/zhk-koptevo-park-4811976001?regionKey=143443001&gkId=4811976001,г.Москва,"г.Москва, округ Северный, р-н Коптево, пер.Старокоптевский",н/р,0.0,комфорт,многоэтажные дома,ГК MODO GROUP | https://erzrf.ru/zastroyschiki/brand/730948001?regionKey=0&organizationId=730948001,н/р
840.0,21147554001.0,401/3514,+32,ЖК Корпус 901А | https://erzrf.ru/novostroyki/zhk-korpus-901a-21147554001?regionKey=143443001&gkId=21147554001,г.Москва,"г.Зеленоград, округ Зеленоградский, мрн 9",н/р,0.0,эконом,дома повышенной этажности,КП УГС | https://erzrf.ru/zastroyschiki/brand/9530869001?regionKey=0&organizationId=9530869001,5.0
841.0,856725001.0,401/3514,+32,ЖК Кристалл | https://erzrf.ru/novostroyki/zhk-kristall-856725001?regionKey=143443001&gkId=856725001,г.Москва,"г.Москва, округ Северный, р-н Левобережный",н/р,0.0,комфорт,высотные дома,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
842.0,1056851001.0,401/3514,+32,ЖК Крылатский | https://erzrf.ru/novostroyki/zhk-krylatskij-1056851001?regionKey=143443001&gkId=1056851001,г.Москва,"г.Москва, округ Западный, р-н Крылатское",н/р,0.0,комфорт,дома повышенной этажности,Компания Midland Development | https://erzrf.ru/zastroyschiki/brand/3230379001?regionKey=0&organizationId=3230379001,н/р
843.0,14651125001.0,401/3514,+32,ЖК Кунцево Парк | https://erzrf.ru/novostroyki/zhk-kuncevo-park-14651125001?regionKey=143443001&gkId=14651125001,г.Москва,"г.Москва, округ Западный, р-н Кунцево, ул.Молодогвардейская",н/р,0.0,комфорт,многоэтажные дома,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
844.0,24460519001.0,401/3514,+32,ЖК Куркино 15 | https://erzrf.ru/novostroyki/zhk-kurkino-24460519001?regionKey=143443001&gkId=24460519001,г.Москва,"г.Москва, округ Северо-Западный, р-н Куркино, ш.Куркинское",н/р,141.0,комфорт,высотные дома,СЗ Куркинский проект | https://erzrf.ru/zastroyschiki/brand/24460254001?regionKey=0&organizationId=24460254001,н/р
845.0,10834988001.0,401/3514,+32,"ЖК КутузовGRAD (Петра Алексеева, 12А) | https://erzrf.ru/novostroyki/zhk-kutuzovgrad-petra-alekseeva-12a-10834988001?regionKey=143443001&gkId=10834988001",г.Москва,"г.Москва, округ Западный, р-н Можайский, ул.Петра Алексеева",н/р,0.0,комфорт,дома повышенной этажности,ГК ИНГРАД | https://erzrf.ru/zastroyschiki/brand/3955566001?regionKey=0&organizationId=3955566001,1.5
846.0,3177895001.0,401/3514,+32,ЖК Кутузовские березы | https://erzrf.ru/novostroyki/zhk-kutuzovskie-berezy-3177895001?regionKey=143443001&gkId=3177895001,г.Москва,"пос.Роговское, округ Троицкий",н/р,0.0,эконом,малоэтажные дома,Деловой двор | https://erzrf.ru/zastroyschiki/brand/4846269001?regionKey=0&organizationId=4846269001,н/р
847.0,6907070001.0,401/3514,+32,"ЖК Кутузовский, 12 | https://erzrf.ru/novostroyki/zhk-kutuzovskij-12-6907070001?regionKey=143443001&gkId=6907070001",г.Москва,"г.Москва, округ Западный, р-н Дорогомилово, пр-кт Кутузовский",н/р,0.0,элитный,многоэтажные дома,Capital Group | https://erzrf.ru/zastroyschiki/brand/430410001?regionKey=0&organizationId=430410001,5.0
848.0,3178189001.0,401/3514,+32,ЖК Лайнер | https://erzrf.ru/novostroyki/zhk-lajner-3178189001?regionKey=143443001&gkId=3178189001,г.Москва,"г.Москва, округ Северный, р-н Хорошёвский, ш.Хорошевское",н/р,0.0,бизнес,многоэтажные дома,Sminex | https://erzrf.ru/zastroyschiki/brand/4354668001?regionKey=0&organizationId=4354668001,2.5
849.0,3713748001.0,401/3514,+32,ЖК Ландыши | https://erzrf.ru/novostroyki/zhk-landyshi-3713748001?regionKey=143443001&gkId=3713748001,г.Москва,"г.Москва, округ Юго-Западный, р-н Обручевский, квартал 43, ул.Островитянова",н/р,0.0,комфорт,среднеэтажные дома,ГК Самолет | https://erzrf.ru/zastroyschiki/brand/2366201001?regionKey=0&organizationId=2366201001,4.5
850.0,23707062001.0,401/3514,+32,ЖК Левенсон | https://erzrf.ru/novostroyki/zhk-levenson-23707062001?regionKey=143443001&gkId=23707062001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пер.Трёхпрудный",н/р,10.0,элитный,среднеэтажные дома,СЗ Трехпрудный | https://erzrf.ru/zastroyschiki/brand/23706523001?regionKey=0&organizationId=23706523001,н/р
851.0,3534166001.0,401/3514,+32,ЖК Легенда 18 | https://erzrf.ru/novostroyki/zhk-legenda-18-3534166001?regionKey=143443001&gkId=3534166001,г.Москва,"пос.Коммунарка, округ Новомосковский, ул.Сосенский Стан",н/р,0.0,эконом,дома повышенной этажности,Концерн КРОСТ | https://erzrf.ru/zastroyschiki/brand/430109001?regionKey=0&organizationId=430109001,1.5
852.0,1963602001.0,401/3514,+32,ЖК Легенда | https://erzrf.ru/novostroyki/zhk-legenda-1963602001?regionKey=143443001&gkId=1963602001,г.Москва,"г.Троицк, округ Троицкий",н/р,0.0,комфорт,среднеэтажные дома,ГК Новые Кварталы | https://erzrf.ru/zastroyschiki/brand/4102609001?regionKey=0&organizationId=4102609001,0.0
853.0,6331935001.0,401/3514,+32,ЖК Лесное Озеро | https://erzrf.ru/novostroyki/zhk-lesnoe-ozero-6331935001?regionKey=143443001&gkId=6331935001,г.Москва,"г.Зеленоград, округ Зеленоградский, р-н Савёлки, мрн 6, ал.Лесные Пруды",н/р,0.0,комфорт,многоэтажные дома,ГК Логопарк Девелопмент | https://erzrf.ru/zastroyschiki/brand/6331409001?regionKey=0&organizationId=6331409001,н/р
854.0,7434548001.0,401/3514,+32,ЖК Лесопарковый | https://erzrf.ru/novostroyki/zhk-lesoparkovyj-7434548001?regionKey=143443001&gkId=7434548001,г.Москва,"г.Москва, округ Южный, р-н Чертаново Южное, ш.Варшавское",н/р,0.0,комфорт,дома повышенной этажности,ГК ИНГРАД | https://erzrf.ru/zastroyschiki/brand/3955566001?regionKey=0&organizationId=3955566001,1.5
855.0,3790984001.0,401/3514,-187,ЖК Летний сад | https://erzrf.ru/novostroyki/zhk-letnij-sad-3790984001?regionKey=143443001&gkId=3790984001,г.Москва,"г.Москва, округ Северный, р-н Дмитровский, ш.Дмитровское",н/р,0.0,комфорт,высотные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
856.0,3861020001.0,401/3514,+32,ЖК Летчика Бабушкина 17 | https://erzrf.ru/novostroyki/zhk-letchika-babushkina-17-3861020001?regionKey=143443001&gkId=3861020001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бабушкинский, ул.Летчика Бабушкина",н/р,0.0,комфорт,многоэтажные дома,Летчика Бабушкина | https://erzrf.ru/zastroyschiki/brand/4848459001?regionKey=0&organizationId=4848459001,н/р
857.0,370037001.0,401/3514,+32,ЖК Лобачевский | https://erzrf.ru/novostroyki/zhk-lobachevskij-370037001?regionKey=143443001&gkId=370037001,г.Москва,"г.Москва, округ Западный, р-н Раменки",н/р,0.0,бизнес,дома повышенной этажности,Компания Midland Development | https://erzrf.ru/zastroyschiki/brand/3230379001?regionKey=0&organizationId=3230379001,н/р
858.0,9594208001.0,401/3514,+32,ЖК Ломоносовский | https://erzrf.ru/novostroyki/zhk-lomonosovskij-9594208001?regionKey=143443001&gkId=9594208001,г.Москва,"г.Москва, округ Юго-Западный, р-н Ломоносовский, пр-кт Ленинский",н/р,0.0,,,,н/р
859.0,5818576001.0,401/3514,+32,ЖК Люблинский. Дом у сквера | https://erzrf.ru/novostroyki/zhk-ljublinskij-dom-u-skvera-5818576001?regionKey=143443001&gkId=5818576001,г.Москва,"г.Москва, округ Юго-Восточный, р-н Люблино, пр-кт 40 лет Октября",н/р,0.0,комфорт,многоэтажные дома,ГК КОРТРОС | https://erzrf.ru/zastroyschiki/brand/429541001?regionKey=0&organizationId=429541001,4.0
860.0,26911420001.0,401/3514,new,ЖК МИRА | https://erzrf.ru/novostroyki/?regionKey=143443001&gkId=26911420001,г.Москва,"город Москва, округ Северо-Восточный, р-н Алексеевский, пр-кт Мира",н/р,0.0,элитный,дома повышенной этажности,СЗ ПМ-Девелопмент | https://erzrf.ru/zastroyschiki/brand/26911085001?regionKey=0&organizationId=26911085001,н/р
861.0,7186968001.0,401/3514,+32,"ЖК Малая Бронная, 15 | https://erzrf.ru/novostroyki/zhk-malaja-bronnaja-15-7186968001?regionKey=143443001&gkId=7186968001",г.Москва,"г.Москва, округ Центральный, р-н Пресненский, ул.Малая Бронная",н/р,0.0,элитный,многоэтажные дома,Лидэстейт | https://erzrf.ru/zastroyschiki/brand/7186133001?regionKey=0&organizationId=7186133001,н/р
862.0,6338826001.0,401/3514,+32,"ЖК Малыгина, 12 | https://erzrf.ru/novostroyki/zhk-malygina-12-6338826001?regionKey=143443001&gkId=6338826001",г.Москва,"г.Москва, округ Северо-Восточный, р-н Лосиноостровский, ул.Малыгина",н/р,0.0,бизнес,дома повышенной этажности,Финансовая корпорация | https://erzrf.ru/zastroyschiki/brand/6338496001?regionKey=0&organizationId=6338496001,н/р
863.0,25127087001.0,401/3514,+32,ЖК Мангазея на Речном | https://erzrf.ru/novostroyki/zhk-mangazeja-na-rechnom-25127087001?regionKey=143443001&gkId=25127087001,г.Москва,"г.Москва, округ Северный, р-н Левобережный, ш.Ленинградское",н/р,141.0,комфорт,высотные дома,Мангазея | https://erzrf.ru/zastroyschiki/brand/3126628001?regionKey=0&organizationId=3126628001,н/р
864.0,25309508001.0,401/3514,+32,ЖК Мангазея на Тульской | https://erzrf.ru/novostroyki/?regionKey=143443001&gkId=25309508001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Большая Тульская",н/р,142.0,бизнес,высотные дома,Мангазея | https://erzrf.ru/zastroyschiki/brand/3126628001?regionKey=0&organizationId=3126628001,н/р
865.0,11352608001.0,401/3514,+32,ЖК Манифест | https://erzrf.ru/novostroyki/zhk-manifest-11352608001?regionKey=143443001&gkId=11352608001,г.Москва,"г.Москва, округ Западный, р-н Можайский, ул.Красных зорь",н/р,0.0,бизнес,многоэтажные дома,ГК А101 | https://erzrf.ru/zastroyschiki/brand/1075233001?regionKey=0&organizationId=1075233001,5.0
866.0,7019468001.0,401/3514,+32,ЖК Марушкино | https://erzrf.ru/novostroyki/zhk-marushkino-7019468001?regionKey=143443001&gkId=7019468001,г.Москва,"дер.Марушкино, округ Новомосковский, ул.Советская",н/р,0.0,эконом,многоэтажные дома,Мосотделстрой № 1 | https://erzrf.ru/zastroyschiki/brand/12051560001?regionKey=0&organizationId=12051560001,н/р
867.0,4811639001.0,401/3514,+32,ЖК Маршала Захарова 7 | https://erzrf.ru/novostroyki/zhk-marshala-zakharova-7-4811639001?regionKey=143443001&gkId=4811639001,г.Москва,"г.Москва, округ Южный, р-н Орехово-Борисово Северное, ул.Маршала Захарова",н/р,0.0,комфорт,дома повышенной этажности,ПИК | https://erzrf.ru/zastroyschiki/brand/429726001?regionKey=0&organizationId=429726001,4.0
868.0,4800295001.0,401/3514,+32,ЖК Марьина Роща | https://erzrf.ru/novostroyki/zhk-marina-roshha-4800295001?regionKey=143443001&gkId=4800295001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марьина Роща, пр-д 1-й Марьиной рощи",н/р,0.0,бизнес,многоэтажные дома,Мангазея | https://erzrf.ru/zastroyschiki/brand/3126628001?regionKey=0&organizationId=3126628001,н/р
